model,game,level,run_id,game_level,total_steps,meaningful_steps,meaningful_ratio,total_distance,avg_distance_per_step,winner,total_reward,reward_steps,max_reward,final_reward,won,normalized_reward
chatgpt 4o-mini,zelda,0,3,zelda-lvl0,220,18,0.08181818181818182,0,0.0,PLAYER_LOSES,0.0,0,0.0,0.0,False,0.0
chatgpt 4o-mini,zelda,0,1,zelda-lvl0,616,45,0.07305194805194805,0,0.0,PLAYER_LOSES,0.0,0,0.0,0.0,False,0.0
chatgpt 4o-mini,realsokoban,2,5,realsokoban-lvl2,1998,745,0.37287287287287285,1024,0.5125125125125125,NO_WINNER,0.0,2,1.0,0.0,False,0.0
chatgpt 4o-mini,realsokoban,2,2,realsokoban-lvl2,1998,914,0.4574574574574575,1267,0.6341341341341341,NO_WINNER,0.0,3,1.0,0.0,False,0.0
chatgpt 4o-mini,realsokoban,2,4,realsokoban-lvl2,1998,944,0.4724724724724725,1326,0.6636636636636637,NO_WINNER,0.0,5,1.0,0.0,False,0.0
chatgpt 4o-mini,realsokoban,2,3,realsokoban-lvl2,1998,965,0.482982982982983,1400,0.7007007007007007,NO_WINNER,0.0,6,1.0,0.0,False,0.0
chatgpt 4o-mini,realsokoban,2,1,realsokoban-lvl2,1998,649,0.32482482482482483,919,0.45995995995996,NO_WINNER,1.0,6,1.0,0.0,False,0.1999999996
chatgpt 4o-mini,aliens,1,5,aliens-lvl1,331,177,0.5347432024169184,246,0.743202416918429,PLAYER_LOSES,3.0,3,1.0,0.0,False,0.0
chatgpt 4o-mini,aliens,1,2,aliens-lvl1,409,238,0.5819070904645477,280,0.684596577017115,PLAYER_LOSES,32.0,20,2.0,0.0,False,0.44615384608520714
chatgpt 4o-mini,aliens,1,4,aliens-lvl1,240,134,0.5583333333333333,160,0.6666666666666666,PLAYER_LOSES,15.0,11,2.0,0.0,False,0.18461538458698226
chatgpt 4o-mini,aliens,1,3,aliens-lvl1,711,362,0.509142053445851,390,0.5485232067510548,PLAYER_LOSES,34.0,20,2.0,0.0,False,0.4769230768497042
